Source,Target,Type,id,label,timeset,weight
0,1,Directed,0,,,1
0,2,Directed,1,,,1
0,3,Directed,2,,,1
0,4,Directed,3,,,1
0,5,Directed,4,,,1
0,6,Directed,5,,,1
0,7,Directed,6,,,1
0,8,Directed,7,,,1
0,9,Directed,8,,,1
8,96,Directed,9,,,1
8,89,Directed,10,,,1
8,120,Directed,11,,,1
8,113,Directed,12,,,1
8,111,Directed,13,,,1
8,15,Directed,14,,,1
5,102,Directed,15,,,1
5,109,Directed,16,,,1
5,18,Directed,17,,,1
5,115,Directed,18,,,1
5,116,Directed,19,,,1
5,21,Directed,20,,,1
5,22,Directed,21,,,1
5,91,Directed,22,,,1
1,103,Directed,23,,,1
1,104,Directed,24,,,1
1,106,Directed,25,,,1
1,108,Directed,26,,,1
1,86,Directed,27,,,1
7,29,Directed,28,,,1
7,30,Directed,29,,,1
7,31,Directed,30,,,1
2,98,Directed,31,,,1
2,100,Directed,32,,,1
2,101,Directed,33,,,1
2,114,Directed,34,,,1
2,36,Directed,35,,,1
2,112,Directed,36,,,1
2,38,Directed,37,,,1
2,39,Directed,38,,,1
2,90,Directed,39,,,1
2,41,Directed,40,,,1
6,139,Directed,41,,,1
6,43,Directed,42,,,1
9,44,Directed,43,,,1
9,94,Directed,44,,,1
9,95,Directed,45,,,1
9,47,Directed,46,,,1
9,48,Directed,47,,,1
9,49,Directed,48,,,1
9,117,Directed,49,,,1
9,118,Directed,50,,,1
3,97,Directed,51,,,1
3,53,Directed,52,,,1
3,99,Directed,53,,,1
3,105,Directed,54,,,1
4,110,Directed,55,,,1
4,121,Directed,56,,,1
4,58,Directed,57,,,1
4,59,Directed,58,,,1
4,60,Directed,59,,,1
4,92,Directed,60,,,1
4,87,Directed,61,,,1
4,88,Directed,62,,,1
4,122,Directed,63,,,1
4,65,Directed,64,,,1
48,123,Directed,65,,,1
125,124,Directed,66,,,1
97,125,Directed,67,,,1
253,126,Directed,68,,,1
44,127,Directed,69,,,1
108,128,Directed,70,,,1
49,129,Directed,71,,,1
224,130,Directed,72,,,1
550,132,Directed,73,,,1
186,132,Directed,74,,,1
575,133,Directed,75,,,1
553,134,Directed,76,,,1
553,135,Directed,77,,,1
59,136,Directed,78,,,1
553,137,Directed,79,,,1
112,138,Directed,80,,,1
6,139,Directed,81,,,1
38,140,Directed,82,,,1
257,141,Directed,83,,,1
36,142,Directed,84,,,1
105,143,Directed,85,,,1
474,144,Directed,86,,,1
105,145,Directed,87,,,1
565,146,Directed,88,,,1
169,147,Directed,89,,,1
36,148,Directed,90,,,1
102,149,Directed,91,,,1
102,150,Directed,92,,,1
116,151,Directed,93,,,1
102,152,Directed,94,,,1
143,153,Directed,95,,,1
125,154,Directed,96,,,1
31,155,Directed,97,,,1
58,156,Directed,98,,,1
156,157,Directed,99,,,1
165,158,Directed,100,,,1
165,159,Directed,101,,,1
103,160,Directed,102,,,1
261,161,Directed,103,,,1
461,162,Directed,104,,,1
120,163,Directed,105,,,1
102,164,Directed,106,,,1
96,165,Directed,107,,,1
165,166,Directed,108,,,1
89,167,Directed,109,,,1
167,168,Directed,110,,,1
106,169,Directed,111,,,1
428,170,Directed,112,,,1
36,171,Directed,113,,,1
565,172,Directed,114,,,1
589,173,Directed,115,,,1
589,174,Directed,116,,,1
58,175,Directed,117,,,1
111,176,Directed,118,,,1
90,177,Directed,119,,,1
123,180,Directed,120,,,1
49,180,Directed,121,,,1
59,180,Directed,122,,,1
476,181,Directed,123,,,1
102,182,Directed,124,,,1
59,183,Directed,125,,,1
189,184,Directed,126,,,1
39,185,Directed,127,,,1
550,186,Directed,128,,,1
48,187,Directed,129,,,1
128,188,Directed,130,,,1
116,189,Directed,131,,,1
116,190,Directed,132,,,1
110,191,Directed,133,,,1
110,192,Directed,134,,,1
192,193,Directed,135,,,1
111,194,Directed,136,,,1
115,195,Directed,137,,,1
176,196,Directed,138,,,1
176,197,Directed,139,,,1
253,198,Directed,140,,,1
104,199,Directed,141,,,1
104,200,Directed,142,,,1
44,201,Directed,143,,,1
232,202,Directed,144,,,1
186,203,Directed,145,,,1
186,205,Directed,146,,,1
224,205,Directed,147,,,1
112,206,Directed,148,,,1
139,207,Directed,149,,,1
215,208,Directed,150,,,1
233,210,Directed,151,,,1
226,210,Directed,152,,,1
47,211,Directed,153,,,1
60,212,Directed,154,,,1
176,213,Directed,155,,,1
555,214,Directed,156,,,1
47,215,Directed,157,,,1
215,216,Directed,158,,,1
186,217,Directed,159,,,1
474,218,Directed,160,,,1
474,219,Directed,161,,,1
38,220,Directed,162,,,1
103,221,Directed,163,,,1
585,223,Directed,164,,,1
90,224,Directed,165,,,1
48,226,Directed,166,,,1
267,226,Directed,167,,,1
128,227,Directed,168,,,1
201,228,Directed,169,,,1
250,229,Directed,170,,,1
233,230,Directed,171,,,1
115,231,Directed,172,,,1
100,232,Directed,173,,,1
100,233,Directed,174,,,1
49,234,Directed,175,,,1
284,235,Directed,176,,,1
284,236,Directed,177,,,1
555,238,Directed,178,,,1
95,238,Directed,179,,,1
555,239,Directed,180,,,1
215,240,Directed,181,,,1
125,241,Directed,182,,,1
186,242,Directed,183,,,1
186,244,Directed,184,,,1
224,244,Directed,185,,,1
186,245,Directed,186,,,1
186,247,Directed,187,,,1
189,247,Directed,188,,,1
186,248,Directed,189,,,1
116,249,Directed,190,,,1
116,250,Directed,191,,,1
109,251,Directed,192,,,1
251,252,Directed,193,,,1
109,253,Directed,194,,,1
125,254,Directed,195,,,1
474,255,Directed,196,,,1
59,256,Directed,197,,,1
105,257,Directed,198,,,1
58,258,Directed,199,,,1
30,259,Directed,200,,,1
212,260,Directed,201,,,1
60,261,Directed,202,,,1
224,262,Directed,203,,,1
224,263,Directed,204,,,1
90,264,Directed,205,,,1
90,265,Directed,206,,,1
90,266,Directed,207,,,1
90,267,Directed,208,,,1
267,268,Directed,209,,,1
268,269,Directed,210,,,1
275,270,Directed,211,,,1
285,271,Directed,212,,,1
30,272,Directed,213,,,1
294,273,Directed,214,,,1
294,274,Directed,215,,,1
120,275,Directed,216,,,1
294,276,Directed,217,,,1
275,277,Directed,218,,,1
275,278,Directed,219,,,1
275,279,Directed,220,,,1
275,280,Directed,221,,,1
275,281,Directed,222,,,1
275,282,Directed,223,,,1
257,283,Directed,224,,,1
49,284,Directed,225,,,1
120,285,Directed,226,,,1
285,286,Directed,227,,,1
285,287,Directed,228,,,1
285,288,Directed,229,,,1
285,289,Directed,230,,,1
285,290,Directed,231,,,1
285,291,Directed,232,,,1
285,292,Directed,233,,,1
285,293,Directed,234,,,1
120,294,Directed,235,,,1
336,297,Directed,236,,,1
165,297,Directed,237,,,1
167,297,Directed,238,,,1
476,298,Directed,239,,,1
113,299,Directed,240,,,1
299,300,Directed,241,,,1
299,301,Directed,242,,,1
300,302,Directed,243,,,1
300,303,Directed,244,,,1
300,304,Directed,245,,,1
302,305,Directed,246,,,1
302,306,Directed,247,,,1
302,307,Directed,248,,,1
186,309,Directed,249,,,1
224,309,Directed,250,,,1
303,310,Directed,251,,,1
303,311,Directed,252,,,1
303,312,Directed,253,,,1
303,313,Directed,254,,,1
303,314,Directed,255,,,1
303,315,Directed,256,,,1
303,316,Directed,257,,,1
303,317,Directed,258,,,1
303,318,Directed,259,,,1
304,319,Directed,260,,,1
224,320,Directed,261,,,1
304,321,Directed,262,,,1
304,322,Directed,263,,,1
304,323,Directed,264,,,1
224,324,Directed,265,,,1
59,325,Directed,266,,,1
36,326,Directed,267,,,1
176,327,Directed,268,,,1
169,328,Directed,269,,,1
89,329,Directed,270,,,1
585,330,Directed,271,,,1
330,331,Directed,272,,,1
331,332,Directed,273,,,1
332,333,Directed,274,,,1
332,334,Directed,275,,,1
330,335,Directed,276,,,1
47,336,Directed,277,,,1
117,337,Directed,278,,,1
337,338,Directed,279,,,1
337,339,Directed,280,,,1
337,340,Directed,281,,,1
117,341,Directed,282,,,1
341,342,Directed,283,,,1
342,343,Directed,284,,,1
342,344,Directed,285,,,1
342,345,Directed,286,,,1
257,346,Directed,287,,,1
249,347,Directed,288,,,1
342,348,Directed,289,,,1
121,349,Directed,290,,,1
349,350,Directed,291,,,1
84,351,Directed,292,,,1
84,352,Directed,293,,,1
84,354,Directed,294,,,1
85,354,Directed,295,,,1
84,355,Directed,296,,,1
84,356,Directed,297,,,1
115,358,Directed,298,,,1
149,358,Directed,299,,,1
354,359,Directed,300,,,1
354,360,Directed,301,,,1
354,361,Directed,302,,,1
354,362,Directed,303,,,1
86,363,Directed,304,,,1
363,364,Directed,305,,,1
363,365,Directed,306,,,1
125,366,Directed,307,,,1
86,367,Directed,308,,,1
86,368,Directed,309,,,1
86,369,Directed,310,,,1
86,370,Directed,311,,,1
86,371,Directed,312,,,1
86,372,Directed,313,,,1
86,373,Directed,314,,,1
86,374,Directed,315,,,1
374,375,Directed,316,,,1
374,376,Directed,317,,,1
257,377,Directed,318,,,1
374,378,Directed,319,,,1
378,379,Directed,320,,,1
379,380,Directed,321,,,1
374,381,Directed,322,,,1
374,382,Directed,323,,,1
374,383,Directed,324,,,1
125,385,Directed,325,,,1
231,385,Directed,326,,,1
122,386,Directed,327,,,1
388,387,Directed,328,,,1
87,388,Directed,329,,,1
388,389,Directed,330,,,1
388,390,Directed,331,,,1
87,391,Directed,332,,,1
386,392,Directed,333,,,1
125,393,Directed,334,,,1
122,394,Directed,335,,,1
122,395,Directed,336,,,1
395,396,Directed,337,,,1
395,397,Directed,338,,,1
415,398,Directed,339,,,1
125,399,Directed,340,,,1
164,400,Directed,341,,,1
95,401,Directed,342,,,1
474,402,Directed,343,,,1
588,403,Directed,344,,,1
39,404,Directed,345,,,1
39,405,Directed,346,,,1
585,406,Directed,347,,,1
540,408,Directed,348,,,1
355,408,Directed,349,,,1
115,409,Directed,350,,,1
114,410,Directed,351,,,1
125,411,Directed,352,,,1
553,412,Directed,353,,,1
169,413,Directed,354,,,1
476,414,Directed,355,,,1
104,415,Directed,356,,,1
415,416,Directed,357,,,1
415,417,Directed,358,,,1
415,418,Directed,359,,,1
415,419,Directed,360,,,1
112,420,Directed,361,,,1
98,421,Directed,362,,,1
415,423,Directed,363,,,1
98,424,Directed,364,,,1
98,425,Directed,365,,,1
98,426,Directed,366,,,1
98,427,Directed,367,,,1
139,428,Directed,368,,,1
98,429,Directed,369,,,1
232,430,Directed,370,,,1
100,431,Directed,371,,,1
100,432,Directed,372,,,1
100,433,Directed,373,,,1
100,434,Directed,374,,,1
100,435,Directed,375,,,1
480,436,Directed,376,,,1
89,437,Directed,377,,,1
224,438,Directed,378,,,1
112,439,Directed,379,,,1
253,440,Directed,380,,,1
437,442,Directed,381,,,1
108,442,Directed,382,,,1
103,443,Directed,383,,,1
48,444,Directed,384,,,1
108,445,Directed,385,,,1
108,446,Directed,386,,,1
108,447,Directed,387,,,1
212,448,Directed,388,,,1
44,449,Directed,389,,,1
388,450,Directed,390,,,1
388,451,Directed,391,,,1
391,452,Directed,392,,,1
391,453,Directed,393,,,1
391,454,Directed,394,,,1
257,455,Directed,395,,,1
388,456,Directed,396,,,1
391,457,Directed,397,,,1
88,458,Directed,398,,,1
88,459,Directed,399,,,1
88,460,Directed,400,,,1
98,461,Directed,401,,,1
120,462,Directed,402,,,1
257,463,Directed,403,,,1
465,464,Directed,404,,,1
468,465,Directed,405,,,1
386,466,Directed,406,,,1
192,467,Directed,407,,,1
121,468,Directed,408,,,1
465,469,Directed,409,,,1
60,470,Directed,410,,,1
388,471,Directed,411,,,1
386,472,Directed,412,,,1
388,473,Directed,413,,,1
96,474,Directed,414,,,1
97,475,Directed,415,,,1
113,476,Directed,416,,,1
21,477,Directed,417,,,1
199,478,Directed,418,,,1
199,479,Directed,419,,,1
96,480,Directed,420,,,1
480,481,Directed,421,,,1
92,482,Directed,422,,,1
428,483,Directed,423,,,1
477,484,Directed,424,,,1
477,485,Directed,425,,,1
477,486,Directed,426,,,1
491,487,Directed,427,,,1
477,488,Directed,428,,,1
477,489,Directed,429,,,1
477,490,Directed,430,,,1
44,491,Directed,431,,,1
491,492,Directed,432,,,1
180,493,Directed,433,,,1
180,494,Directed,434,,,1
477,495,Directed,435,,,1
497,496,Directed,436,,,1
96,497,Directed,437,,,1
499,498,Directed,438,,,1
96,499,Directed,439,,,1
585,500,Directed,440,,,1
103,501,Directed,441,,,1
58,502,Directed,442,,,1
103,503,Directed,443,,,1
120,504,Directed,444,,,1
120,505,Directed,445,,,1
120,506,Directed,446,,,1
120,507,Directed,447,,,1
120,508,Directed,448,,,1
60,509,Directed,449,,,1
477,510,Directed,450,,,1
123,512,Directed,451,,,1
49,512,Directed,452,,,1
120,513,Directed,453,,,1
513,514,Directed,454,,,1
201,515,Directed,455,,,1
91,516,Directed,456,,,1
516,517,Directed,457,,,1
143,518,Directed,458,,,1
199,519,Directed,459,,,1
102,520,Directed,460,,,1
44,521,Directed,461,,,1
92,522,Directed,462,,,1
92,523,Directed,463,,,1
522,524,Directed,464,,,1
522,525,Directed,465,,,1
541,526,Directed,466,,,1
588,527,Directed,467,,,1
167,528,Directed,468,,,1
44,529,Directed,469,,,1
18,530,Directed,470,,,1
536,531,Directed,471,,,1
275,532,Directed,472,,,1
275,533,Directed,473,,,1
192,534,Directed,474,,,1
536,535,Directed,475,,,1
106,536,Directed,476,,,1
536,537,Directed,477,,,1
275,538,Directed,478,,,1
275,539,Directed,479,,,1
44,540,Directed,480,,,1
112,541,Directed,481,,,1
194,542,Directed,482,,,1
194,543,Directed,483,,,1
194,544,Directed,484,,,1
22,545,Directed,485,,,1
176,546,Directed,486,,,1
199,547,Directed,487,,,1
103,548,Directed,488,,,1
94,549,Directed,489,,,1
115,550,Directed,490,,,1
257,551,Directed,491,,,1
167,552,Directed,492,,,1
116,553,Directed,493,,,1
125,554,Directed,494,,,1
49,555,Directed,495,,,1
49,556,Directed,496,,,1
553,557,Directed,497,,,1
428,558,Directed,498,,,1
257,559,Directed,499,,,1
257,560,Directed,500,,,1
550,562,Directed,501,,,1
59,562,Directed,502,,,1
60,563,Directed,503,,,1
143,564,Directed,504,,,1
47,565,Directed,505,,,1
257,566,Directed,506,,,1
257,567,Directed,507,,,1
125,568,Directed,508,,,1
257,569,Directed,509,,,1
258,570,Directed,510,,,1
250,571,Directed,511,,,1
250,572,Directed,512,,,1
476,573,Directed,513,,,1
186,575,Directed,514,,,1
224,575,Directed,515,,,1
95,576,Directed,516,,,1
116,577,Directed,517,,,1
104,578,Directed,518,,,1
125,579,Directed,519,,,1
224,581,Directed,520,,,1
94,581,Directed,521,,,1
186,582,Directed,522,,,1
145,583,Directed,523,,,1
258,584,Directed,524,,,1
47,585,Directed,525,,,1
474,586,Directed,526,,,1
523,587,Directed,527,,,1
15,588,Directed,528,,,1
104,589,Directed,529,,,1
