cve_id,cwe_id,n_exploits,vulnerability_type,published_date,updated_date,description,score,gained_access_level,access,complexity,authentication,conf,integ,avail
CVE-2016-1000217,89,,Sql,2016-10-06,2016-12-22,Zotpress plugin for WordPress SQLi in zp_get_account(),7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-1000125,89,,Sql,2016-10-06,2017-01-19,Unauthenticated SQL Injection in Huge-IT Catalog v1.0.7 for Joomla,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-1000124,89,,Sql,2016-10-06,2016-11-28,Unauthenticated SQL Injection in Huge-IT Portfolio Gallery Plugin v1.0.6,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-1000123,89,,Sql,2016-10-06,2016-12-22,Unauthenticated SQL Injection in Huge-IT Video Gallery v1.0.9 for Joomla,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-1000122,89,,Sql XSS,2016-10-27,2016-12-22,XSS and SQLi in Huge IT Joomla Slider v1.0.9 extension,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-1000120,89,,Sql XSS,2016-10-27,2016-12-22,SQLi and XSS in Huge IT catalog extension v1.0.4 for Joomla,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-1000116,79,,Sql XSS,2016-10-21,2016-11-28,Huge-IT Portfolio Gallery manager v1.1.5 SQL Injection and XSS,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-1000115,79,,Sql XSS,2016-10-21,2016-12-22,Huge-IT Portfolio Gallery manager v1.1.5 SQL Injection and XSS,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-1000113,89,,Sql XSS,2016-10-06,2016-11-28,XSS and SQLi in huge IT gallery v1.1.5 for Joomla,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-1000000,89,,Sql,2016-10-06,2017-01-17,Ipswitch WhatsUp Gold 16.4.1 WrFreeFormText.asp sUniqueID Parameter Blind SQL Injection,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-9864,89,,Sql,2016-12-10,2016-12-23,"An issue was discovered in phpMyAdmin. With a crafted username or a table name, it was possible to inject SQL statements in the tracking functionality that would run with the privileges of the control user. This gives read and write access to the tables of the configuration storage database, and if the control user has the necessary privileges, read access to some tables of the MySQL database. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected.",6.0,None,Remote,Medium,Single system,Partial,Partial,Partial
CVE-2016-9481,89,,Sql,2016-11-29,2016-12-02,"In framework/modules/core/controllers/expCommentController.php of Exponent CMS 2.4.0, content_id input is passed into showComments. The method showComments is defined in the expCommentControllercontroller with the parameter '$this->params['content_id']' used directly in SQL. Impact is a SQL injection.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-9288,89,,Sql,2016-11-11,2016-11-29,"In framework/modules/navigation/controllers/navigationController.php in Exponent CMS v2.4.0 or older, the parameter ""target"" of function ""DragnDropReRank"" is directly used without any filtration which caused SQL injection. The payload can be used like this: /navigation/DragnDropReRank/target/1.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-9287,89,,Sql,2016-11-15,2016-11-29,"In /framework/modules/notfound/controllers/notfoundController.php of Exponent CMS 2.4.0 patch1, untrusted input is passed into getSearchResults. The method getSearchResults is defined in the search model with the parameter '$term' used directly in SQL. Impact is a SQL injection.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-9283,89,,Sql,2016-11-11,2016-11-29,"SQL Injection in framework/core/subsystems/expRouter.php in Exponent CMS v2.4.0 allows remote attackers to read database information via address/addContentToSearch/id/ and a trailing string, related to a ""sef URL"" issue.",5.0,None,Remote,Low,Not required,Partial,None,None
CVE-2016-9282,89,,Sql,2016-11-11,2016-11-29,SQL Injection in framework/modules/search/controllers/searchController.php in Exponent CMS v2.4.0 allows remote attackers to read database information via action=search&module=search with the search_string parameter.,5.0,None,Remote,Low,Not required,Partial,None,None
CVE-2016-9272,89,,DoS Sql,2016-11-11,2016-11-29,"A Blind SQL Injection Vulnerability in Exponent CMS through 2.4.0, with the rerank array parameter, can lead to site database information disclosure and denial of service.",6.4,None,Remote,Low,Not required,Partial,None,Partial
CVE-2016-9242,89,,Exec Code Sql,2016-11-07,2016-11-29,Multiple SQL injection vulnerabilities in the update method in framework/modules/core/controllers/expRatingController.php in Exponent CMS 2.4.0 allow remote authenticated users to execute arbitrary SQL commands via the (1) content_type or (2) subtype parameter.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-9184,89,,Sql,2016-11-04,2016-11-29,"In /framework/modules/core/controllers/expHTMLEditorController.php of Exponent CMS 2.4.0, untrusted input is used to construct a table name, and in the selectObject method in mysqli class, table names are wrapped with a character that common filters do not filter, allowing for SQL Injection. Impact is Information Disclosure.",5.0,None,Remote,Low,Not required,Partial,None,None
CVE-2016-9183,200,,Sql Bypass +Info,2016-11-04,2016-11-29,"In /framework/modules/ecommerce/controllers/orderController.php of Exponent CMS 2.4.0, untrusted input is passed into selectObjectsBySql. The method selectObjectsBySql of class mysqli_database uses the injectProof method to prevent SQL injection, but this filter can be bypassed easily: it only sanitizes user input if there are odd numbers of ' or "" characters. Impact is Information Disclosure.",5.0,None,Remote,Low,Not required,Partial,None,None
CVE-2016-9135,89,,Sql,2016-11-03,2016-11-29,"Exponent CMS 2.3.9 suffers from a SQL injection vulnerability in ""/framework/modules/help/controllers/helpController.php"" affecting the version parameter. Impact is Information Disclosure.",5.0,None,Remote,Low,Not required,Partial,None,None
CVE-2016-9134,89,,Sql,2016-11-03,2016-11-29,"Exponent CMS 2.3.9 suffers from a SQL injection vulnerability in ""/expPaginator.php"" affecting the order parameter. Impact is Information Disclosure.",5.0,None,Remote,Low,Not required,Partial,None,None
